Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,29
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,29
50,200,0,0,29
50,200,0,0,29
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,29
50,200,0,0,28
50,200,0,0,29
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,29
50,200,0,0,29
50,200,0,0,29
50,200,0,0,29
50,200,0,0,29
50,200,0,0,28
50,200,0,0,29
50,200,0,0,29
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,29
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,29
50,200,0,0,29
50,200,0,0,29
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,29
50,200,0,0,29
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,29
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,28
50,200,0,0,26
50,200,0,0,26
50,200,0,0,16
50,200,0,0,9
50,200,0,0,7
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,5
50,200,0,0,5
50,200,0,0,5
50,200,0,0,4
50,200,0,0,3
50,200,0,0,3
50,200,0,0,3
50,200,0,0,3
50,200,0,0,3
50,200,0,0,4
50,200,0,0,5
50,200,0,0,5
50,200,0,0,-6
50,200,0,0,-9
50,200,0,0,-11
50,200,0,0,-11
50,200,0,0,-11
50,200,0,0,-7
50,200,0,0,-2
50,200,0,0,0
50,200,0,0,1
50,200,0,0,4
50,200,0,0,5
50,200,0,0,5
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,5
50,200,0,0,5
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
50,200,0,0,7
50,200,0,0,7
50,200,0,0,6
50,200,0,0,7
50,200,0,0,6
50,200,0,0,6
50,200,0,0,6
