Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,1.25
50,180,0,0,2,,,,,,,0
50,180,0,0,2,,,,,,,0
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,1,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
