Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,p,0.875
50,180,0,0,3,,,,,0.8272
50,180,0,0,2,,,,,
50,180,0,0,2,,,,,
50,180,0,0,2,,,,,
50,180,0,0,2,,,,,
50,180,0,0,2,,,,,
50,180,0,0,2,,,,,
50,180,0,0,2,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,2,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,2,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,2,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,0,0,2,,,,,
50,180,0,0,3,,,,,
50,180,0,0,3,,,,,
50,180,10,0,3,,,,,
50,180,10,0,3,,,,,
50,180,10,0,3,,,,,
50,180,10,0,3,,,,,
50,180,10,0,9,,,,,
50,180,10,0,21,,,,,
50,180,10,0,24,,,,,
50,180,10,0,25,,,,,
50,180,10,0,25,,,,,
50,180,10,0,25,,,,,
50,180,10,0,25,,,,,
50,180,10,0,25,,,,,
50,180,10,0,25,,,,,
50,180,10,0,26,,,,,
50,180,10,0,26,,,,,
50,180,10,0,25,,,,,
50,180,10,0,26,,,,,
50,180,10,0,27,,,,,
50,180,10,0,26,,,,,
50,180,20,0,27,,,,,
50,180,20,0,26,,,,,
50,180,20,0,27,,,,,
50,180,20,0,26,,,,,
50,180,20,0,26,,,,,
50,180,20,0,26,,,,,
50,180,20,0,26,,,,,
50,180,20,0,26,,,,,
50,180,20,0,26,,,,,
50,180,20,0,26,,,,,
50,180,20,0,27,,,,,
50,180,20,0,25,,,,,
50,180,20,0,22,,,,,
50,180,20,0,21,,,,,
50,180,20,0,21,,,,,
50,180,20,0,21,,,,,
50,180,20,0,21,,,,,
50,180,20,0,21,,,,,
50,180,20,0,21,,,,,
50,180,30,0,21,,,,,
50,180,30,0,20,,,,,
50,180,30,0,21,,,,,
50,180,30,0,20,,,,,
50,180,30,0,22,,,,,
50,180,30,0,20,,,,,
50,180,30,0,21,,,,,
50,180,30,0,21,,,,,
50,180,30,0,21,,,,,
50,180,30,0,22,,,,,
50,180,30,0,21,,,,,
50,180,30,0,22,,,,,
50,180,30,0,21,,,,,
50,180,30,0,20,,,,,
50,180,30,0,22,,,,,
50,180,30,0,20,,,,,
50,180,30,0,21,,,,,
50,180,30,0,21,,,,,
50,180,30,0,21,,,,,
50,180,0,0,21,,,,,
50,180,0,0,21,,,,,
50,180,0,0,21,,,,,
50,180,0,0,21,,,,,
50,180,0,0,21,,,,,
50,180,0,0,21,,,,,
50,180,0,0,14,,,,,
50,180,0,0,-22,,,,,
50,180,0,0,-69,,,,,
50,180,0,0,-88,,,,,
50,180,0,0,-92,,,,,
50,180,0,0,6,,,,,
50,180,0,0,102,,,,,
50,180,0,0,43,,,,,
50,180,0,0,-48,,,,,
50,180,0,0,-86,,,,,
50,180,0,0,-98,,,,,
50,180,0,0,-77,,,,,
50,180,0,0,16,,,,,
50,180,0,0,112,,,,,
50,180,0,0,94,,,,,
50,180,0,0,58,,,,,
50,180,0,0,47,,,,,
50,180,0,0,44,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,42,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
50,180,0,0,43,,,,,
