Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,
50,200,0,0,79,,,,,
50,200,0,0,79,,,,,
50,200,0,0,80,,,,,
50,200,0,0,80,,,,,
50,200,0,0,80,,,,,
50,200,0,0,80,,,,,
50,200,0,0,80,,,,,DEBUG: CDC Data received -> &_DATA_50.00_200.00_20_0_-235_*
50,200,0,0,80,,,,,"DEBUG: Parsed Data -> Target Speed: 50.0, Current Speed: 200.0, Target Pitch: 20.0, Current Pitch 1: 0.0, Current Pitch 2: -235.0"
50,200,0,0,79,,,,,DEBUG: Raw data received -> &_PWM_60.00_60.00_25.00_60.00_25.00_*
50,200,0,0,79,,,,,DEBUG: CDC Data received -> &_PWM_60.00_60.00_25.00_60.00_25.00_*
50,200,0,0,79,,,,,DEBUG: Control message -> &_PWM_60.00_60.00_25.00_60.00_25.00_*
50,200,0,0,79,,,,,DEBUG: Raw data received -> &_PID_1.000001_1.350000_0.250000_*
50,200,0,0,0,,,,,DEBUG: CDC Data received -> &_PID_1.000001_1.350000_0.250000_*
50,200,0,0,0,,,,,DEBUG: Control message -> &_PID_1.000001_1.350000_0.250000_*
50,200,0,0,0,,,,,DEBUG: Raw data received -> &_DATA_50.00_200.00_20_0_-234_*
50,200,0,0,0,,,,,DEBUG: CDC Data received -> &_DATA_50.00_200.00_20_0_-234_*
50,200,0,0,0,,,,,"DEBUG: Parsed Data -> Target Speed: 50.0, Current Speed: 200.0, Target Pitch: 20.0, Current Pitch 1: 0.0, Current Pitch 2: -234.0"
50,200,0,0,0,,,,,DEBUG: Raw data received -> &_PWM_60.00_60.00_25.00_60.00_25.00_*
50,200,0,0,0,,,,,DEBUG: CDC Data received -> &_PWM_60.00_60.00_25.00_60.00_25.00_*
50,200,0,0,0,,,,,DEBUG: Control message -> &_PWM_60.00_60.00_25.00_60.00_25.00_*
50,200,0,0,0,,,,,DEBUG: Raw data received -> &_PID_1.000001_1.350000_0.250000_*
50,200,0,0,0,,,,,DEBUG: CDC Data received -> &_PID_1.000001_1.350000_0.250000_*
50,200,0,0,0,,,,,DEBUG: Control message -> &_PID_1.000001_1.350000_0.250000_*
50,200,0,0,0,,,,,DEBUG: Raw data received -> &_DATA_50.00_200.00_20_0_-234_*
50,200,0,0,0,,,,,DEBUG: CDC Data received -> &_DATA_50.00_200.00_20_0_-234_*
